Pathway	DLF001	DLF002	DLF003	DLF004	DLF005	DLF006	DLF007	DLF008	DLF009
ko00010	0.0072905636986243475	0.00745929730007576	0.007090713272949467	0.006871880222054453	0.007890484246469615	0.006743588092318857	0.00670935858704899	0.007520615618053439	0.008360000312621118
ko00071	0.0012028951721477301	0.0011296468553387371	0.001356284076680065	0.0013554690052094344	0.001260333533497355	0.001298957111042636	0.0016749846448678473	0.0010518892030645878	0.0007843586549438049
ko00350	0.0006426481738573322	0.0008732220817694348	0.0006069247810376967	0.0005902048358568258	0.0005714025429212541	0.00047567902740614534	0.0006540556138084222	0.0019182774723852873	0.001113660664015325
ko00625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00626	4.36711690120237e-06	8.8965892777307e-06	4.794258577941585e-07	5.16155760373695e-07	1.751681603287245e-07	1.20937126500425e-05	3.4136117123658796e-06	2.8297956692234544e-05	5.9221836004135e-05
ko00980	2.29025293209358e-06	1.1194272839314768e-05	7.827121493418099e-05	4.6255854929010107e-07	2.83676229344035e-06	1.0152854626730943e-05	0.0	1.6622938441164351e-06	6.186563583664349e-06
ko00982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00561	0.0025243273457792965	0.002216070026489211	0.002927497549016941	0.0025662262325681384	0.002729338105380375	0.0027122288098553847	0.002279440010932088	0.003282552706554746	0.0025581888224009723
ko00930	6.773247816790957e-06	7.753518918279452e-06	3.7500060453489233e-06	3.5171531764981913e-06	2.000168392717175e-06	2.9613821189198217e-06	1.85491739954094e-06	7.776157368545957e-06	4.545708057288087e-05
ko00260	0.0036535986697975604	0.004956777815968569	0.004092996335341598	0.0039220945500059515	0.003918434589152204	0.004112703734477306	0.006026851311326387	0.004154258630290567	0.004523586848294252
ko00270	0.006685864359377495	0.008786526814883499	0.011634045290038437	0.011836819063374016	0.011360117777595302	0.008788147242040332	0.007299306310491131	0.007248070218337276	0.007053658268657579
ko00300	0.004600363854853228	0.005220546659283574	0.005975770347053785	0.005404425113330139	0.005940377697191496	0.005436075548478395	0.004821767243567921	0.0050808927682536665	0.004970656626857245
ko00650	0.004179063009358496	0.004466862127914428	0.004285992681043085	0.004107181177987399	0.0037210142218411283	0.004539918945291671	0.0044244515313011535	0.004368079519246473	0.003490950815414721
ko00564	0.005640419251017495	0.005824862543984527	0.0066468064785798805	0.006544699349246568	0.006797974987094125	0.006237080856660039	0.005597335985216665	0.005921854062900924	0.0071199786888621035
ko00040	0.00830672249601973	0.007101253095454846	0.005742905391539253	0.010538058579415789	0.005815771270251852	0.005429987707394618	0.008057321936539573	0.00957548445738051	0.004876206670195685
ko00051	0.02369505619945963	0.018328128793689186	0.019002198601733255	0.01815680054335144	0.017921094348608165	0.017510316479427423	0.022597425826509403	0.022407895476223273	0.015606016435568096
ko00521	0.001988553809481521	0.0016570839781513574	0.0035596484605573842	0.0018591989187375453	0.001405111493457184	0.001434071727602303	0.00254324350118799	0.001665747926735814	0.0012159724459432785
ko00562	0.002042117303544071	0.0013868784123252519	0.0008408543227065669	0.001244127425064562	0.0011540436547623008	0.0013504845386801978	0.001716910760026863	0.0017000415743422211	0.001263231032105846
ko00052	0.007576682180795556	0.005903037984627397	0.0024205274285739385	0.004942284140141997	0.004028596152628169	0.004181302142733242	0.006507694035417843	0.007730788200710467	0.004792781777431246
ko00620	0.008875143222256004	0.008836186074162316	0.009092113820774956	0.00825440396776557	0.00941309559811521	0.009414784394775456	0.008399989113116941	0.00885478455745554	0.008515789879179765
ko00053	0.0006241489023079051	0.0004433862277045929	0.0003998932704918618	0.0005445165798549692	0.00028268822114998126	0.0004999161470247306	0.0004350272727063027	0.0007884969756567721	0.0009999026458786565
ko00500	0.016241214765521844	0.016325417624758216	0.017554452835126716	0.019026819610347682	0.018025315011854004	0.013540663106944921	0.014175425980955622	0.014141438761965972	0.01075842350626103
ko00520	0.017550420561611837	0.014694250204598636	0.014185037891648709	0.014143859087681268	0.011910540745333287	0.013794559783921391	0.014229502426177055	0.01498231698465865	0.011689411245167789
ko00340	0.00907023033677729	0.009669121531526392	0.008708712310757075	0.008632922320319314	0.009171103608448375	0.008834645062856219	0.008883033137815074	0.00890591792157336	0.006530616982000262
ko00400	0.0064425417909756925	0.007122928567513847	0.00836163117545004	0.008391168824870171	0.0076236192540075735	0.007478859623930949	0.006639345832860237	0.006377288099024171	0.006459409811330425
ko00630	0.005795922931264437	0.0061965817309107465	0.005568108196580848	0.0059964421263535225	0.0062099633989916875	0.0065930224692345675	0.006252122186371245	0.006171469422669502	0.007762058794728897
ko00640	0.00046564645371084733	0.0006669832682097588	0.00025957044976272683	0.0003107753590367781	0.0002126895010998929	0.0010014490318928585	0.0008284664816984073	0.0010200198191851937	0.002695083158269171
ko00680	0.005915250174840006	0.006488963140701118	0.007223730138863304	0.005801133999745333	0.0065845217868101	0.007443390569109135	0.006004654598726475	0.006983458688397421	0.0048874872129958035
ko00072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00280	0.0004921153736222052	0.0006735208453073956	0.00020219760814901022	0.0003633758804784869	0.0003562296965711896	0.0005907923840267699	0.0004885495475176452	0.0004208628683293118	0.00028973891986165456
ko00900	0.004028618965128614	0.004536560852778174	0.005964855971879004	0.0056744957373098745	0.00493398784940461	0.004868102922203521	0.0043114706697797	0.004141893317560115	0.004192803216491782
