KO	DLF001	DLF002	DLF003	DLF004	DLF005	DLF006	DLF007	DLF008	DLF009
K00001	0.000218080750998678	0.000292011269409172	0.000183811396397214	0.000209100016126983	0.000306253739976382	0.000356841436807232	0.000308523552266977	0.000212337127516313	0.000397081275910646
K00002	1.66822340270918e-05	2.91099219248582e-05	2.99704617396665e-05	1.31673136550848e-05	4.58762725939643e-05	4.96550991823078e-05	1.59614737047111e-05	1.10776914271617e-05	2.0125824667993e-05
K00003	0.000102096582488442	0.000267883926930514	0.00034744353401109	0.000197728856344332	0.000376446250596764	0.000297863984755901	0.000149781264011619	0.000176023600343569	0.000290694398794759
K00004	2.55973088845531e-06	1.11453494764285e-06	7.77432885831999e-06	1.05536914142544e-06	2.21645554446662e-06	3.76684366350581e-06	1.4183101565957e-07	0	4.04086241263388e-06
K00005	0.000104872989966464	7.82216400969301e-05	5.73637517684323e-05	7.92933528851456e-05	0.000202128927150029	0.000139102843456732	0.000143387808348987	0.000312936674820729	0.000194425981886969
K00006	0	0	0	0	0	0	0	0	0
K00007	0	0	0	1.2538779490191e-07	0	1.69132039107155e-06	6.40978796092388e-07	4.4942186244643e-07	9.38426903043368e-05
K00008	0.000181592941870668	0.00027341725870664	0.000199105087950142	0.00014644607533445	0.000356582781358266	0.000239522781476064	0.000192069307379685	0.000345484851074272	0.000473154075855736
K00009	4.16571963658733e-05	1.1779059996221e-05	1.66591847529816e-05	7.81762613630457e-06	7.69347172382433e-05	3.21321508049017e-05	7.48260869402966e-06	2.00860271315471e-05	0.000148473635520237
K00010	0.00086796542477043	0.000511161409463382	0.000180426350208174	0.00033903352598214	0.00029363750921393	0.000272864077938404	0.00069115140514341	0.000843131721278535	0.000584979476937772
K00011	0	0	9.16822348173251e-07	3.82551313332561e-07	0	2.65909346234597e-07	1.27240093281812e-06	0	0
K00012	0.00100043640916767	0.000691909336526362	0.000743229495515302	0.000809207447722647	0.000613021568415054	0.000684531205174995	0.000668627886051324	0.000604747399343839	0.000507117974717237
K00013	0.000295232596188928	0.000379900446515191	0.000382719511051851	0.000401755196482134	0.00037393060575274	0.000309694424965454	0.000281902892078655	0.000245369566945039	0.000332031479797382
K00014	0.000518770656666734	0.000550968645733302	0.000626307410328099	0.000543429942660776	0.000601878406475044	0.000592100254796186	0.00056497643286314	0.000462097737673961	0.000465540647452178
K00015	2.89483097035018e-05	6.49175506118979e-05	4.70088862241498e-05	3.86710031559904e-05	2.93877217822987e-05	0.00010923382087071	2.00196620732843e-05	8.14777078875079e-05	3.87915597682092e-05
K00016	0.000142459628305224	0.000198261141360506	0.000314117573991785	0.000153596259637779	0.000441841999418712	0.000260589255561761	0.000181299184294886	0.000162692309858333	0.000249949198670284
K00018	0.000245431568220555	0.00030474689700381	0.000419209913166111	0.00034204226023316	0.000372336723670867	0.000237065472411314	0.000290595690881351	0.000342790526844581	0.000195513605967824
K00019	1.27628129955119e-06	8.52338661692171e-06	6.95859312015135e-06	8.27252956504762e-06	1.27757328840269e-05	4.6938450427738e-06	3.02794809386144e-06	1.51213420866452e-06	2.61422679442556e-06
K00020	1.91957404157266e-05	2.10317406486021e-05	1.20985662972354e-05	1.24189349972702e-05	2.44326070125372e-05	4.38989072922985e-05	8.59953886729885e-06	2.87071541816832e-05	0.000102379950508266
K00021	0	0	8.16223387276435e-07	0	0	0	0	0	0
K00023	1.65439967053232e-06	0	6.35785241031326e-06	0	8.99358979286393e-07	4.52818239397005e-06	0	0	0
K00024	0.000622289190217422	0.000421440320692028	0.000335145228620053	0.000486314921657042	0.000237230727639319	0.000385944410538794	0.000591284427226949	0.00051215038885932	0.000353442010862687
K00025	0	0	0	0	0	0	0	0	0
K00026	0	0	0	0	0	0	0	0	0
K00027	7.49014898829671e-05	0.000211360687028174	0.000292713134977382	0.00014417861503269	0.000258353600742584	0.000232325386152313	8.19948962549833e-05	0.000145369072468399	0.000102428071172904
K00028	0	0	0	0	0	0	0	0	2.96675162313621e-07
K00029	0.000225289372589474	0.000213932640316205	0.000204240275929076	0.000324865112009325	0.000155568903327262	0.000178823631323865	0.000212517058271932	0.000190415129473206	0.000313916126732419
K00030	3.29193959125214e-05	2.66893749745953e-05	5.78580748107575e-05	2.35496860726062e-05	3.8853402198817e-05	8.29904967994392e-05	5.8283690562797e-06	5.62189034211591e-06	3.91741167307442e-05
K00031	0.000256449841529684	0.000335944014834008	0.0004411922871718	0.000443175278744459	0.000394712316090343	0.000332150712753062	0.000337840339396973	0.00026990978818899	0.000302543876860608
K00032	0	9.7014323104437e-07	0	0	5.26125002882541e-06	0	0	0	0
K00033	0.000265705995407158	0.000196231637035434	5.33839508937988e-05	0.000136793866785727	7.51982054859689e-05	0.00018858471422422	0.000245150455973967	0.000219743901864839	0.000247312323716231
K00034	9.9112248315228e-05	2.07728513069875e-05	1.78356436234944e-05	1.32925512319065e-05	1.66084451922102e-05	7.12266901095361e-05	2.62996063994149e-05	6.06893045087794e-05	0.000166815689101785
K00035	0	0	0	0	0	0	0	0	0
K00036	0.00026712254475745	0.000188212758934548	3.12116531116738e-05	0.000132440951048979	4.85486341874866e-05	0.000159720953432985	0.000242333632997798	0.000223035919102507	0.000199604769045897
K00037	1.10445321281061e-05	6.56751950103683e-06	1.17539521551853e-05	4.10542131357895e-05	1.65786772758257e-05	9.53795065424391e-06	3.22834591341042e-05	2.55205573794936e-05	1.08878079141022e-05
K00038	9.84775092467143e-07	5.93143060080394e-06	1.16301983634516e-05	2.26274526432182e-07	1.79654114906254e-05	3.23961553021235e-05	1.22215214490786e-06	3.83011838976084e-06	4.42585809694116e-06
K00039	0	0	0	0	0	9.62338586372824e-07	1.97550343240115e-07	0	6.56881360381651e-05
K00040	4.00345564605672e-05	0.00010643938265908	0.000207525368153574	0.000218362886457215	0.000111872196338769	9.7586282256613e-05	7.48011916748445e-05	7.57252027876607e-05	0.000145588490224725
K00041	0.000384420922736097	0.000366707166789538	0.000285806729783239	0.000415421578384946	0.000247324704366081	0.000287737486725165	0.000304214075191714	0.00027986883196623	0.000124803326113955
K00042	8.70883091479696e-05	0.00012346697736645	5.12060692760441e-05	9.12115180104797e-05	8.9814970743355e-05	8.23359811389319e-05	6.91834980387935e-05	0.000138360102482063	0.000279325595896006
K00043	1.44009853586381e-05	2.09622128642511e-05	3.17858887661213e-05	1.54350792608691e-05	1.23771115534504e-05	2.66623053681125e-05	2.24060242130395e-05	1.32061312819767e-05	2.18313348882739e-05
K00044	3.74038186381218e-07	2.05814174221248e-05	3.42395213189597e-05	8.01730233639657e-06	1.94815217116778e-05	3.08581127696478e-05	1.09557216541089e-05	9.50178021582614e-06	6.6938193038552e-06
K00045	9.49467849012167e-05	4.67678820946976e-05	0.000118314614708237	1.83011982037362e-05	2.80393609963648e-06	1.11369882173513e-05	6.0740138053009e-05	0.000156480563328197	2.87659343252074e-06
K00046	0.000295552349939854	0.000419762253064446	0.00049729788651042	0.000577969489520493	0.000356195522309242	0.000408974885091089	0.00044750813814959	0.000420145603747346	0.000535041443414696
K00048	0.000260113394584478	0.000348832322946861	0.000316960710195702	0.000325937685696557	0.000485313086415956	0.000237120599331052	0.000313626789101534	0.000315707544142861	0.000311381518340716
K00050	6.36443672382421e-06	7.15597731703741e-05	7.78792339095239e-05	4.34620075949905e-05	5.90575730858453e-05	6.53874361496881e-05	3.24682446406604e-05	2.46393179466455e-05	2.50517880792763e-05
K00051	1.14387301319908e-06	0	1.46205990020821e-06	0	1.03638043042421e-06	7.64561414828616e-07	0	0	0
K00052	0.000352624354073301	0.000367980838323696	0.000431515092154196	0.00044215436051528	0.000432738924558798	0.000387130350355088	0.000356936747214225	0.000295330896843304	0.000305611021725732
K00053	0.000372860097949875	0.000378733126866292	0.000440340335504569	0.000469628873004258	0.000440174017520276	0.000386403097126782	0.000328450338142508	0.000307147670953516	0.00031756662938016
K00054	1.30018311638812e-07	5.51646756773571e-06	1.95194395389838e-06	2.41368985084886e-06	3.74310780073514e-06	1.25666429469177e-05	2.35936902827056e-07	5.61786935445008e-06	1.45760340776607e-05
K00055	1.41417177316735e-06	1.63019501837593e-06	7.11533865864892e-07	1.61801784654246e-07	1.21565088079943e-06	3.90578686119006e-06	1.44596921176773e-05	2.58225804689154e-05	4.58462644455167e-06
K00057	0.000335261014241854	0.000413407259274858	0.000593032536618577	0.000511641487458867	0.000582215250183645	0.000428012468696121	0.000304024833351491	0.000298273012568452	0.000434578637597098
K00058	0.000573552870562872	0.000700742453744394	0.000644217245396061	0.0005531169849182	0.00078916786029987	0.000774012853664396	0.000557299457194257	0.000600051991575362	0.000770275677371533
K00059	0.0015171672750886	0.00162451461243091	0.00157450926851066	0.00178250130078262	0.00139439703587268	0.00156799171837924	0.00161090070589807	0.00150229338188246	0.00129063904849487
K00060	0.000120625685787539	5.84426055392009e-05	0.000208087948464691	0.000222089547277033	1.2723402635667e-05	4.77789682786412e-05	3.10723466384193e-05	9.48301502416893e-05	0.000195623621030247
K00062	0.000235458609165697	0.000207235503868375	5.6056218906398e-05	9.79597528986197e-05	0.000111448820794511	0.00011143538958279	0.000235417499842192	0.000196499972487484	1.47800099723146e-05
K00064	1.55287504867155e-05	7.91406725342563e-06	1.10486786194237e-05	3.18205055904906e-05	3.42998521758773e-06	4.27404385838425e-05	2.20031704462897e-05	3.1955314267366e-05	2.24053240059753e-06
K00065	6.32236103082247e-05	0.000171804227458129	4.92880265083585e-05	6.43734511103756e-05	8.31129578030801e-05	9.57925175540403e-05	0.000131578711392025	0.000231948723672863	0.000247075626176741
K00066	0	6.84806986619557e-05	8.57569200780394e-07	0	4.29178805731077e-06	5.30076919889058e-07	9.4226390661605e-06	0	2.02544093308205e-06
K00067	0.000679308182419582	0.000684770327764579	0.000642110986064582	0.000675502899955645	0.000592583556330225	0.000640673711616913	0.00111003689874032	0.000791012019877761	0.000376638851443138
K00068	1.76995965936803e-05	1.55679902614643e-05	1.67030723443344e-05	5.31883839592018e-06	4.05951639870317e-05	5.76512627802489e-05	1.39756909495714e-05	4.34919426019441e-05	0.000141266467555983
K00071	0	0	2.47958771437766e-07	0	0	0	0	1.910863028285e-07	0
K00073	9.94413226275236e-06	1.43553193260439e-05	2.77551689445604e-06	4.33251150415695e-06	2.38950610674467e-06	3.70508106409563e-05	1.42147745541085e-05	3.95499749389726e-05	5.86038435662612e-06
K00074	6.54090699463185e-05	0.000228806227584943	0.000263032936987041	0.000114003253451556	0.000174707893084447	0.000219572549845475	3.2456435276949e-05	0.000110261321339397	9.6893424476806e-05
